hour,trip_count,avg_fare,avg_distance
0,152352,19.721888521319052,3.916406217181264
1,100891,17.42734455997066,3.312466325043859
2,66416,16.316576728499157,3.0510437244037583
3,45197,17.592100360643407,3.4209031572892004
4,27507,23.00459010433708,4.8523121387283235
5,31441,27.44765306446996,6.198481600458001
6,73976,23.030167216394506,4.993197929058073
7,152823,18.93974670043122,3.652699201036493
8,216566,17.727528790299495,3.10472211704515
9,250098,18.04846380218954,3.080616878183752
10,271381,18.25116146672022,3.0731153986461837
11,294336,18.03293613421396,2.9577425119591214
12,321917,18.32943628326556,3.03763330299425
13,330867,18.947304354922068,3.220146705473801
14,355784,19.895939924223686,3.4311147493985112
15,365997,19.89719071467799,3.4084545774965367
16,371135,19.867454080051733,3.4273518800436498
17,399565,18.462393452880008,3.0910405315780913
18,408330,17.29876075723067,2.936784634976612
19,361179,17.62406513113996,3.1802595942731995
20,324638,17.998677295941942,3.3612262889741804
21,321431,18.28725032744197,3.460167158737023
22,288574,19.15495664890115,3.668941068841961
23,215676,20.549534023257106,4.11144401787867
